WellID,Battery,CycleNumber,CycleStart,DurationMonths,Model,Qi,Di,B,RSquared,IsHighConfidence,LowConfidenceReason,EUR,NPV
ABWI100012206504W400,Mahihkan Battery 02-21,1,2024-01-01,14,harmonic,411.0318572907088,0.0768816442427998,1.0,0.6075618714737976,True,,4014.603265848863,1102100.9132393284
ABWI100012206504W400,Mahihkan Battery 02-21,2,2025-03-01,16,harmonic,353.0936508088522,0.0340722583818081,1.0,0.7890322514434907,True,,4572.107349701382,1268169.5034146856
ABWI100013406504W400,Mahihkan Battery 02-21,1,2022-05-01,6,exponential,214.11666666666667,2.877370151793641e-27,0.0,0.0,False,low R2 (0.00),,
ABWI100013406504W400,Mahihkan Battery 02-21,2,2022-11-01,11,harmonic,459.4719017226576,0.1417295858203604,1.0,0.549353903126315,True,,3190.715583153333,847211.9110681344
ABWI100013406504W400,Mahihkan Battery 02-21,3,2023-10-01,33,harmonic,282.63925548806856,0.0029799972410262,1.0,0.0095506578672633,False,low R2 (0.01),,
ABWI100020306604W400,Mahihkan Battery 02-21,1,2023-07-01,6,exponential,123.87499984549704,4.639404528280231e-17,0.0,-4.440892098500626e-16,False,low R2 (-0.00),,
ABWI100020306604W400,Mahihkan Battery 02-21,2,2024-01-01,5,exponential,231.28260475789395,0.58692937342508,0.0,0.8726739759584609,False,short cycle (<6mo),,
ABWI100020306604W400,Mahihkan Battery 02-21,3,2024-06-01,4,harmonic,41.34490954451181,0.2941596322091298,1.0,0.5202542083263866,False,short cycle (<6mo),,
ABWI100020306604W400,Mahihkan Battery 02-21,4,2024-10-01,6,exponential,35.58333333333335,1.446788405611231e-16,0.0,0.0,False,low R2 (0.00),,
ABWI100020306604W400,Mahihkan Battery 02-21,5,2025-04-01,6,exponential,102.47776335189916,0.2544369402140309,0.0,0.8333955182246857,True,,357.0604549818234,-80644.33045797939
ABWI100020306604W400,Mahihkan Battery 02-21,6,2025-10-01,5,harmonic,41.82730824177265,2.215277191853104,1.0,0.3461847420801379,False,short cycle (<6mo); low R2 (0.35); very high Di (2.22/month),,
ABWI100020306604W400,Mahihkan Battery 02-21,7,2026-03-01,4,,,,,,False,too few data points to fit,,
ABWI100020906604W400,Mahihkan Battery 02-21,1,2022-10-01,11,harmonic,383.9056344985427,0.1919271297903564,1.0,0.6306671942289996,True,,2406.0590653545582,590849.7311215685
ABWI100020906604W400,Mahihkan Battery 02-21,2,2023-09-01,5,harmonic,440.3929974825532,0.1839733968047467,1.0,0.382195667180306,False,short cycle (<6mo); low R2 (0.38),,
ABWI100020906604W400,Mahihkan Battery 02-21,3,2024-02-01,24,hyperbolic,1206.0997971507556,7.314466672282394,1.9999999999999796,0.8505557692289393,False,very high Di (7.31/month); b pinned at bound (2.000),,
ABWI100020906604W400,Mahihkan Battery 02-21,4,2026-02-01,5,harmonic,456.0824532061732,0.51193436466607,1.0,0.9133187037208422,False,short cycle (<6mo),,
ABWI100021506504W400,Mahihkan Battery 02-21,1,2022-12-01,8,exponential,190.81763369700732,0.1066453312177683,0.0,0.5022478458115038,True,,1082.6575087590436,158609.34813468158
ABWI100021506504W400,Mahihkan Battery 02-21,2,2023-08-01,9,harmonic,138.48811155142545,0.072338336974799,1.0,0.2725403855515198,False,low R2 (0.27),,
ABWI100021506504W400,Mahihkan Battery 02-21,3,2024-05-01,26,harmonic,123.70354879824012,0.0680851685711483,1.0,0.4779504242937942,False,low R2 (0.48),,
ABWI100021506604W400,Mahihkan Battery 02-21,1,2024-01-01,7,harmonic,825.2067168800013,0.0307249004727041,1.0,0.0311820263580983,False,low R2 (0.03),,
ABWI100021506604W400,Mahihkan Battery 02-21,2,2024-08-01,23,exponential,1604.1990333283488,0.0451377101414637,0.0,0.7523894269192752,True,,23477.217787825368,7216995.270994179
ABWI100022006604W400,Mahihkan Battery 02-21,1,2022-09-01,13,exponential,462.0666666666667,1.0815817806272099e-18,0.0,0.0,False,low R2 (0.00),,
ABWI100022006604W400,Mahihkan Battery 02-21,2,2023-10-01,10,harmonic,883.6491639908415,0.2629272099606715,1.0,0.8068242644697434,True,,4670.043563162667,1341528.1567964312
ABWI100022006604W400,Mahihkan Battery 02-21,3,2024-08-01,5,harmonic,540.328526302413,0.2120973564933592,1.0,0.2416426255171943,False,short cycle (<6mo); low R2 (0.24),,
ABWI100022006604W400,Mahihkan Battery 02-21,4,2025-01-01,9,harmonic,516.8489712504634,0.1308424278428339,1.0,0.3741365291044571,False,low R2 (0.37),,
ABWI100022006604W400,Mahihkan Battery 02-21,5,2025-10-01,9,exponential,683.1528167223927,0.1762607916981665,0.0,0.8946501288103811,True,,3362.1801381424,914348.5722661574
ABWI100022206504W400,Mahihkan Battery 02-21,1,2022-10-01,16,harmonic,126.41966483235392,0.0009467456265514,1.0,0.0001028789755972,False,low R2 (0.00),,
ABWI100022206504W400,Mahihkan Battery 02-21,2,2024-02-01,29,harmonic,152.44254533430046,0.0129311436391725,1.0,0.1154046089962214,False,low R2 (0.12),,
ABWI100022906604W400,Mahihkan Battery 02-21,1,2024-11-01,4,harmonic,239.1027422540284,0.3868715595911324,1.0,0.166352746483805,False,short cycle (<6mo); low R2 (0.17),,
ABWI100022906604W400,Mahihkan Battery 02-21,2,2025-03-01,6,exponential,451.2888705306749,0.4329576469877954,0.0,0.8875682221854092,True,,1188.6171905489134,198653.38109388907
ABWI100022906604W400,Mahihkan Battery 02-21,3,2025-09-01,7,exponential,344.0714285714286,2.328845660995616e-23,0.0,2.220446049250313e-16,False,low R2 (0.00),,
ABWI100022906604W400,Mahihkan Battery 02-21,4,2026-04-01,3,,,,,,False,too few data points to fit,,
ABWI100023206504W400,Mahihkan Battery 02-21,1,2023-05-01,38,exponential,196.94473684210527,2.1378234266698456e-22,0.0,3.3306690738754696e-16,False,low R2 (0.00),,
ABWI100023406504W400,Mahihkan Battery 02-21,1,2022-06-01,6,exponential,151.86666666666667,7.218251029386633e-24,0.0,-2.220446049250313e-16,False,low R2 (-0.00),,
ABWI100023406504W400,Mahihkan Battery 02-21,2,2022-12-01,27,exponential,132.03333333333333,2.966953696012808e-20,0.0,0.0,False,low R2 (0.00),,
ABWI100023406504W400,Mahihkan Battery 02-21,3,2025-03-01,9,harmonic,205.7891706301261,0.1314228736280643,1.0,0.5457193802182443,True,,1279.8568776478146,222418.02884012196
ABWI100023406504W400,Mahihkan Battery 02-21,4,2025-12-01,7,harmonic,191.5060143841125,0.01456276830211,1.0,0.011444218740971,False,low R2 (0.01),,
ABWI100023506504W400,Mahihkan Battery 02-21,1,2022-12-01,15,harmonic,153.67074192077786,0.0051966861547447,1.0,0.0018404157972148,False,low R2 (0.00),,
ABWI100023506504W400,Mahihkan Battery 02-21,2,2024-03-01,13,exponential,231.74287372998904,0.1528719263656416,0.0,0.8056075788935005,True,,1410.6915291287346,263506.01408367074
ABWI100023506504W400,Mahihkan Battery 02-21,3,2025-04-01,7,harmonic,156.44930324336482,1.882258175603192,1.0,0.9810238096776356,True,,313.1995556438616,-94921.35110676145
ABWI100023506504W400,Mahihkan Battery 02-21,4,2025-11-01,8,exponential,162.9,2.1920786450743633e-18,0.0,0.0,False,low R2 (0.00),,
ABWI100031506504W400,Mahihkan Battery 02-21,1,2022-05-01,8,harmonic,28.712499908816252,6.743534603180832e-15,1.0,-3.597122599785507e-14,False,low R2 (-0.00),,
ABWI100031506504W400,Mahihkan Battery 02-21,2,2023-01-01,6,harmonic,103.40753651086852,0.4288535754166451,1.0,0.7062683887032853,True,,347.63595117399257,-83834.52350901568
ABWI100031506504W400,Mahihkan Battery 02-21,3,2023-07-01,8,harmonic,100.5337943580994,0.027038530063956,1.0,0.1187717516182,False,low R2 (0.12),,
ABWI100031506504W400,Mahihkan Battery 02-21,4,2024-03-01,9,exponential,137.6059002980466,0.3748992293999339,0.0,0.870065122010315,True,,425.0652275260364,-58011.094871594
ABWI100031506504W400,Mahihkan Battery 02-21,5,2024-12-01,4,exponential,27.79221419901063,0.1764156634580298,0.0,0.6142747214957962,False,short cycle (<6mo),,
ABWI100031506504W400,Mahihkan Battery 02-21,6,2025-04-01,10,hyperbolic,39.29949518454792,96.43676498399148,2.0,0.9879371883297052,False,very high Di (96.44/month); b pinned at bound (2.000),,
ABWI100032206504W400,Mahihkan Battery 02-21,1,2022-08-01,14,exponential,67.90479580307431,0.0623029377621608,0.0,0.7806946842065936,True,,654.2795913787966,12437.308708518802
ABWI100032206504W400,Mahihkan Battery 02-21,2,2023-10-01,10,exponential,33.870000000052244,3.736614927232468e-18,0.0,0.0,False,low R2 (0.00),,
ABWI100032206504W400,Mahihkan Battery 02-21,3,2024-08-01,7,harmonic,51.14350178552496,0.8301157695869846,1.0,0.3561695067437841,False,low R2 (0.36),,
ABWI100032206504W400,Mahihkan Battery 02-21,4,2025-03-01,8,harmonic,39.42369387461954,0.1352086982763782,1.0,0.4728347136687963,False,low R2 (0.47),,
ABWI100032206504W400,Mahihkan Battery 02-21,5,2025-11-01,8,harmonic,36.86250000135555,2.5144119810171493e-16,1.0,-2.220446049250313e-16,False,low R2 (-0.00),,
ABWI100032306504W400,Mahihkan Battery 02-21,1,2022-10-01,8,exponential,253.18750003651587,1.0693177123151744e-15,0.0,-1.2656542480726783e-14,False,low R2 (-0.00),,
ABWI100032306504W400,Mahihkan Battery 02-21,2,2023-06-01,5,exponential,351.889626501574,0.4757671625749495,0.0,0.6737524946269655,False,short cycle (<6mo),,
ABWI100032306504W400,Mahihkan Battery 02-21,3,2023-11-01,7,harmonic,222.58937802612303,0.044636805879282,1.0,0.2625317729438342,False,low R2 (0.26),,
ABWI100032306504W400,Mahihkan Battery 02-21,4,2024-06-01,12,exponential,206.93333359837945,1.0592100464893536e-20,0.0,1.1102230246251563e-16,False,low R2 (0.00),,
ABWI100032306504W400,Mahihkan Battery 02-21,5,2025-06-01,13,harmonic,564.5230412723653,0.0226240566002449,1.0,0.1909245669437799,False,low R2 (0.19),,
ABWI100032806504W400,Mahihkan Battery 02-21,1,2023-04-01,4,harmonic,35.862295228781974,0.0302939477543377,1.0,0.0032514786552146,False,short cycle (<6mo); low R2 (0.00),,
ABWI100032806504W400,Mahihkan Battery 02-21,2,2023-08-01,16,harmonic,48.586690983364335,0.1299469397179166,1.0,0.3677081680132339,False,low R2 (0.37),,
ABWI100032806504W400,Mahihkan Battery 02-21,3,2024-12-01,6,exponential,45.88333333333333,1.9090933203552213e-19,0.0,0.0,False,low R2 (0.00),,
ABWI100032806504W400,Mahihkan Battery 02-21,4,2025-06-01,8,exponential,144.82628102454294,0.474856245023145,0.0,0.8999358246948631,True,,374.5320433608718,-74480.57086377987
ABWI100032806504W400,Mahihkan Battery 02-21,5,2026-02-01,5,exponential,40.90000000030862,8.962359558549119e-18,0.0,0.0,False,short cycle (<6mo); low R2 (0.00),,
ABWI100032806604W400,Mahihkan Battery 02-21,1,2022-08-01,11,exponential,69.76363636363637,7.303212098296796e-22,0.0,0.0,False,low R2 (0.00),,
ABWI100032806604W400,Mahihkan Battery 02-21,2,2023-07-01,6,exponential,162.64999991429752,3.184675945400257e-16,0.0,-1.3322676295501878e-15,False,low R2 (-0.00),,
ABWI100032806604W400,Mahihkan Battery 02-21,3,2024-01-01,15,exponential,307.4524804908428,0.1131963714285129,0.0,0.5298023238394782,True,,2346.845552346097,565148.0928326756
ABWI100032806604W400,Mahihkan Battery 02-21,4,2025-04-01,7,harmonic,122.2459430927124,1.6678132256832627,1.0,0.6261819863357325,True,,256.7584534107437,-113906.58550669224
ABWI100032806604W400,Mahihkan Battery 02-21,5,2025-11-01,6,harmonic,58.74721507541136,0.3376611117502351,1.0,0.7048558897784772,True,,213.76028840551976,-128622.32759541212
ABWI100033206604W400,Mahihkan Battery 02-21,1,2022-05-01,21,exponential,2327.052667103773,0.1444977774097156,0.0,0.926754077689363,True,,16464.00421728679,5152584.848987624
ABWI100033206604W400,Mahihkan Battery 02-21,2,2024-02-01,9,harmonic,120.79015231754964,0.3415325804690232,1.0,0.0172273466751458,False,low R2 (0.02),,
ABWI100033206604W400,Mahihkan Battery 02-21,3,2024-11-01,8,harmonic,155.1169006902972,0.1724724747530782,1.0,0.1127013008937022,False,low R2 (0.11),,
ABWI100033206604W400,Mahihkan Battery 02-21,4,2025-07-01,4,,,,,,False,too few data points to fit,,
ABWI100033206604W400,Mahihkan Battery 02-21,5,2025-11-01,8,exponential,386.4125005737263,1.5555932557958604e-15,0.0,-4.6629367034256575e-15,False,low R2 (-0.00),,
ABWI100033406504W400,Mahihkan Battery 02-21,1,2024-04-01,27,exponential,348.4851851851852,6.32027063242626e-20,0.0,0.0,False,low R2 (0.00),,
ABWI100033406604W400,Mahihkan Battery 02-21,1,2022-09-01,14,harmonic,803.6956964655619,0.5824657075379325,1.0,0.931795239888804,True,,3450.5923629219847,934828.8984936924
ABWI100033406604W400,Mahihkan Battery 02-21,2,2023-11-01,6,harmonic,180.46999984122232,1.9236095723831477,1.0,0.9291860553121182,True,,343.8376745785368,-84453.53580107378
ABWI100033406604W400,Mahihkan Battery 02-21,3,2024-05-01,6,harmonic,59.28855127294396,0.0056644167072073,1.0,0.0016003353160514,False,low R2 (0.00),,
ABWI100033406604W400,Mahihkan Battery 02-21,4,2024-11-01,8,exponential,138.975,3.400718462345899e-23,0.0,0.0,False,low R2 (0.00),,
ABWI100033406604W400,Mahihkan Battery 02-21,5,2025-07-01,9,exponential,216.0222222222222,3.3233469024678524e-19,0.0,-2.220446049250313e-16,False,low R2 (-0.00),,
ABWI100033406604W400,Mahihkan Battery 02-21,6,2026-04-01,3,,,,,,False,too few data points to fit,,
ABWI100033506504W400,Mahihkan Battery 02-21,1,2022-08-01,28,exponential,217.4821428160425,9.755615633024969e-19,0.0,-2.220446049250313e-16,False,low R2 (-0.00),,
ABWI100033506504W400,Mahihkan Battery 02-21,2,2024-12-01,8,harmonic,244.048289066988,0.0572877434456555,1.0,0.1981021488419986,False,low R2 (0.20),,
ABWI100033506504W400,Mahihkan Battery 02-21,3,2025-08-01,11,harmonic,272.20407038518493,0.0374570930649093,1.0,0.23851358488399,False,low R2 (0.24),,
ABWI100040306604W400,Mahihkan Battery 02-21,1,2023-05-01,10,exponential,743.3680384639545,0.1222259328519329,0.0,0.7371511693934663,True,,4557.943421461661,1303042.8751914364
ABWI100040306604W400,Mahihkan Battery 02-21,2,2024-03-01,12,exponential,373.0666663766758,1.3238057282209061e-17,0.0,0.0,False,low R2 (0.00),,
ABWI100040306604W400,Mahihkan Battery 02-21,3,2025-03-01,7,harmonic,602.11368439832,0.0376215928307623,1.0,0.0184719626403602,False,low R2 (0.02),,
ABWI100040306604W400,Mahihkan Battery 02-21,4,2025-10-01,9,harmonic,852.3648631923231,0.589084295377135,1.0,0.8149827028232095,True,,3061.628217293537,817293.552644281
ABWI100040906604W400,Mahihkan Battery 02-21,1,2022-05-01,10,exponential,166.5800001526062,1.1049314312223117e-21,0.0,0.0,False,low R2 (0.00),,
ABWI100040906604W400,Mahihkan Battery 02-21,2,2023-03-01,12,exponential,125.08333336559244,5.7434121643115725e-15,0.0,-3.774758283725532e-15,False,low R2 (-0.00),,
ABWI100040906604W400,Mahihkan Battery 02-21,3,2024-03-01,16,exponential,190.9562500000025,3.1143652985209097e-22,0.0,2.220446049250313e-16,False,low R2 (0.00),,
ABWI100040906604W400,Mahihkan Battery 02-21,4,2025-07-01,6,exponential,341.27305666218825,0.5461885804965141,0.0,0.7617453413294765,True,,780.3184071330815,62172.69387718044
ABWI100040906604W400,Mahihkan Battery 02-21,5,2026-01-01,6,exponential,369.0242175769888,0.3113138996481527,0.0,0.861646438744796,True,,1166.3909552162868,190336.99022396444
ABWI100041006604W400,Mahihkan Battery 02-21,1,2023-02-01,7,exponential,652.8319767956024,0.1614811816423681,0.0,0.6488661876211401,True,,2964.261844686923,786340.8751748096
ABWI100041006604W400,Mahihkan Battery 02-21,2,2023-09-01,7,exponential,332.32857142857347,6.671713481993634e-23,0.0,0.0,False,low R2 (0.00),,
ABWI100041006604W400,Mahihkan Battery 02-21,3,2024-04-01,11,exponential,746.83859963792,0.1396270130989989,0.0,0.7053996472223045,True,,4497.266415469444,1281443.2581590656
ABWI100041006604W400,Mahihkan Battery 02-21,4,2025-03-01,16,exponential,167.10625,3.042161703947199e-22,0.0,0.0,False,low R2 (0.00),,
ABWI100041606604W400,Mahihkan Battery 02-21,1,2022-11-01,13,exponential,586.4923076923077,3.117942902632945e-21,0.0,0.0,False,low R2 (0.00),,
ABWI100041606604W400,Mahihkan Battery 02-21,2,2023-12-01,6,exponential,945.600000001827,1.8523902172990176e-18,0.0,0.0,False,low R2 (0.00),,
ABWI100041606604W400,Mahihkan Battery 02-21,3,2024-06-01,5,harmonic,1554.013134518584,0.2007431582945414,1.0,0.947799591860606,False,short cycle (<6mo),,
ABWI100041606604W400,Mahihkan Battery 02-21,4,2024-11-01,6,harmonic,1501.2055729466465,0.0639370093086816,1.0,0.1525160032538286,False,low R2 (0.15),,
ABWI100041606604W400,Mahihkan Battery 02-21,5,2025-05-01,14,exponential,1503.0357142857142,2.3368155424425863e-28,0.0,0.0,False,low R2 (0.00),,
ABWI100042206504W400,Mahihkan Battery 02-21,1,2023-05-01,8,exponential,79.15000001052002,1.0987537514944513e-15,0.0,-1.376676550535194e-14,False,low R2 (-0.00),,
ABWI100042206504W400,Mahihkan Battery 02-21,2,2024-01-01,14,exponential,171.39752192596862,0.0908276715753857,0.0,0.6844683063594984,True,,1420.5599197540132,262836.71736795193
ABWI100042206504W400,Mahihkan Battery 02-21,3,2025-03-01,4,exponential,70.90000000150764,1.9242448500293302e-16,0.0,-2.220446049250313e-16,False,short cycle (<6mo); low R2 (-0.00),,
ABWI100042206504W400,Mahihkan Battery 02-21,4,2025-07-01,12,harmonic,122.84290467193838,0.1233411668609953,1.0,0.5370952455676911,True,,942.33838703498,108185.03521158989
ABWI100042306504W400,Mahihkan Battery 02-21,1,2023-01-01,42,exponential,334.0591802004152,0.0128770081006829,0.0,0.4503506469422005,False,low R2 (0.45),,
ABWI100042806504W400,Mahihkan Battery 02-21,1,2023-02-01,16,harmonic,216.4521792011232,0.3227330299932556,1.0,0.81013245068341,True,,1316.0403295232925,228872.4842281812
ABWI100042806504W400,Mahihkan Battery 02-21,2,2024-06-01,5,harmonic,167.91723103066633,0.6401014935324083,1.0,0.8209351155062121,False,short cycle (<6mo),,
ABWI100042806504W400,Mahihkan Battery 02-21,3,2024-11-01,5,exponential,119.2,2.400490274648344e-24,0.0,0.0,False,short cycle (<6mo); low R2 (0.00),,
ABWI100042806504W400,Mahihkan Battery 02-21,4,2025-04-01,11,harmonic,184.8736790549594,0.3423826082195195,1.0,0.8572768352954678,True,,921.205270268533,103771.11658355298
ABWI100042806504W400,Mahihkan Battery 02-21,5,2026-03-01,4,harmonic,183.32075495512763,0.6639936381687574,1.0,0.7741435562972683,False,short cycle (<6mo),,
ABWI100043406504W400,Mahihkan Battery 02-21,1,2023-12-01,8,harmonic,957.8242351916348,0.0619691130567265,1.0,0.1779795324775821,False,low R2 (0.18),,
ABWI100043406504W400,Mahihkan Battery 02-21,2,2024-08-01,9,harmonic,960.3555555911372,1.7025899737572947e-16,1.0,-4.440892098500626e-16,False,low R2 (-0.00),,
ABWI100043406504W400,Mahihkan Battery 02-21,3,2025-05-01,5,exponential,1679.64,1.6065089965510586e-24,0.0,0.0,False,short cycle (<6mo); low R2 (0.00),,
ABWI100043406504W400,Mahihkan Battery 02-21,4,2025-10-01,9,exponential,3436.7243840479773,0.2004408977323251,0.0,0.9050163093893744,True,,15806.227697373912,5044559.911678808
ABWI100043506504W400,Mahihkan Battery 02-21,1,2022-06-01,4,exponential,32.975,5.822983303909629e-19,0.0,0.0,False,short cycle (<6mo); low R2 (0.00),,
ABWI100043506504W400,Mahihkan Battery 02-21,2,2022-10-01,26,harmonic,160.8423076923077,5.232346264314335e-18,1.0,-2.220446049250313e-16,False,low R2 (-0.00),,
ABWI100043506504W400,Mahihkan Battery 02-21,3,2024-12-01,11,exponential,228.9793687913314,0.1965812296779456,0.0,0.9473190821167652,True,,1135.4325309798617,175449.08614887676
ABWI100043506504W400,Mahihkan Battery 02-21,4,2025-11-01,8,exponential,79.68324119540512,0.235089232952306,0.0,0.7338189615365677,True,,322.35390404359646,-92707.61919468772
ABWI100050306604W400,Mahihkan Battery 02-21,1,2024-11-01,4,harmonic,242.59948929474692,0.1525880505911394,1.0,0.1322205925194671,False,short cycle (<6mo); low R2 (0.13),,
ABWI100050306604W400,Mahihkan Battery 02-21,2,2025-03-01,6,exponential,334.68528735681423,0.1633797969335825,0.0,0.9671135081922706,True,,1387.2966510856322,262836.30132267345
ABWI100050306604W400,Mahihkan Battery 02-21,3,2025-09-01,10,harmonic,178.9985402743209,0.0144005330324438,1.0,0.0201108237776413,False,low R2 (0.02),,
ABWI100050406604W400,Mahihkan Battery 02-21,1,2022-07-01,9,exponential,200.8888883836441,6.749444300561832e-15,0.0,-3.752553823233029e-14,False,low R2 (-0.00),,
ABWI100050406604W400,Mahihkan Battery 02-21,2,2023-04-01,7,exponential,501.8970878447768,0.6998461070746878,0.0,0.7779275281908746,True,,989.703488694712,133066.35596397248
ABWI100050406604W400,Mahihkan Battery 02-21,3,2023-11-01,10,harmonic,186.32413450330404,0.1449213135800277,1.0,0.7115464847769142,True,,1208.675018953735,197884.2164961512
ABWI100050406604W400,Mahihkan Battery 02-21,4,2024-09-01,11,exponential,132.08181818181816,4.422666494542437e-18,0.0,-2.220446049250313e-16,False,low R2 (-0.00),,
ABWI100050406604W400,Mahihkan Battery 02-21,5,2025-08-01,5,exponential,365.8987595957991,0.5365500224412204,0.0,0.9501477800481136,False,short cycle (<6mo),,
ABWI100050406604W400,Mahihkan Battery 02-21,6,2026-01-01,6,harmonic,201.7310737490763,0.4092102643291351,1.0,0.9882049420102852,True,,689.1109434241627,30238.146056378228
ABWI100050906604W400,Mahihkan Battery 02-21,1,2022-07-01,4,exponential,272.62500000001074,2.117803703573094e-20,0.0,0.0,False,short cycle (<6mo); low R2 (0.00),,
ABWI100050906604W400,Mahihkan Battery 02-21,2,2022-11-01,10,exponential,399.4514258160846,0.0775178633280193,0.0,0.7878784221306049,True,,2888.5499313186306,749898.7393162824
ABWI100050906604W400,Mahihkan Battery 02-21,3,2023-09-01,12,harmonic,182.18248156958424,0.0054559094094676,1.0,0.0039921637294659,False,low R2 (0.00),,
ABWI100050906604W400,Mahihkan Battery 02-21,4,2024-09-01,22,exponential,368.95196570368415,0.0939633687104646,0.0,0.9435994342377184,True,,3593.3393323185933,953857.007835138
ABWI100051006604W400,Mahihkan Battery 02-21,1,2022-10-01,7,exponential,638.0820656283618,0.1380259247514649,0.0,0.3283631473003917,False,low R2 (0.33),,
ABWI100051006604W400,Mahihkan Battery 02-21,2,2023-05-01,10,harmonic,463.0853575604579,7.174311787722238,1.0,0.5942645957405961,False,very high Di (7.17/month),,
ABWI100051006604W400,Mahihkan Battery 02-21,3,2024-03-01,10,harmonic,952.0609406445352,0.3567333199771022,1.0,0.8938482101237739,True,,4452.177500822985,1271966.7008183186
ABWI100051006604W400,Mahihkan Battery 02-21,4,2025-01-01,11,exponential,359.7929372661412,0.333998815204564,0.0,0.9399632296511156,True,,1234.9669827616567,211384.21869034585
ABWI100051506604W400,Mahihkan Battery 02-21,1,2022-11-01,8,exponential,65.8875,1.010530819588116e-27,0.0,-4.440892098500626e-16,False,low R2 (-0.00),,
ABWI100051506604W400,Mahihkan Battery 02-21,2,2023-07-01,9,exponential,91.55555555604172,1.9921955649997897e-18,0.0,0.0,False,low R2 (0.00),,
ABWI100051506604W400,Mahihkan Battery 02-21,3,2024-04-01,9,harmonic,193.28142847782533,0.0680844232109801,1.0,0.3768696096254311,False,low R2 (0.38),,
ABWI100051506604W400,Mahihkan Battery 02-21,4,2025-01-01,14,hyperbolic,181.9867332397933,0.2138213924663911,1.999999999999998,0.761872630422685,False,b pinned at bound (2.000),,
